label,Category
0,Negtive
0,Negtive
0,Negtive
0,Positive
0,Negtive
1,Positive
0,Negtive
1,Positive
1,Positive
1,Positive
1,Positive
1,Positive
1,Positive
1,Negtive
1,Positive
1,Positive
0,Positive
0,Negtive
1,Positive
0,Positive
0,Positive
1,Negtive
0,Negtive
0,Positive
1,Positive
0,Negtive
0,Negtive
1,Positive
0,Negtive
1,Positive
1,Positive
0,Negtive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Positive
0,Negtive
1,Positive
1,Negtive
0,Negtive
1,Positive
0,Negtive
1,Positive
1,Positive
0,Negtive
0,Negtive
1,Positive
1,Positive
1,Positive
1,Positive
0,Positive
0,Negtive
0,Positive
0,Negtive
0,Negtive
0,Negtive
1,Positive
1,Positive
0,Negtive
1,Negtive
1,Positive
0,Negtive
0,Negtive
1,Positive
0,Positive
1,Positive
1,Negtive
1,Positive
0,Negtive
1,Positive
1,Positive
1,Positive
1,Negtive
1,Positive
0,Negtive
1,Negtive
0,Positive
0,Negtive
0,Negtive
1,Positive
0,Negtive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Negtive
1,Positive
0,Negtive
1,Positive
0,Negtive
1,Negtive
0,Negtive
1,Positive
1,Negtive
0,Negtive
0,Negtive
0,Positive
0,Negtive
0,Negtive
1,Negtive
1,Positive
1,Positive
0,Negtive
1,Positive
1,Positive
1,Positive
0,Negtive
1,Positive
0,Negtive
1,Positive
1,Positive
1,Positive
0,Negtive
1,Positive
1,Negtive
0,Negtive
0,Positive
0,Negtive
0,Negtive
1,Positive
0,Negtive
0,Negtive
0,Negtive
1,Positive
1,Positive
0,Positive
0,Negtive
1,Negtive
0,Negtive
1,Negtive
1,Negtive
1,Positive
1,Positive
0,Positive
0,Negtive
1,Positive
0,Negtive
0,Negtive
1,Positive
0,Negtive
0,Negtive
1,Positive
0,Negtive
0,Negtive
0,Negtive
1,Negtive
1,Positive
0,Positive
0,Negtive
0,Negtive
1,Negtive
1,Positive
1,Positive
0,Negtive
1,Positive
1,Positive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
0,Negtive
0,Positive
0,Positive
1,Positive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
0,Negtive
0,Negtive
0,Negtive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Negtive
1,Negtive
1,Positive
0,Negtive
0,Negtive
1,Positive
1,Positive
0,Negtive
1,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
1,Negtive
1,Positive
1,Positive
0,Negtive
1,Positive
1,Positive
0,Negtive
0,Negtive
1,Positive
1,Positive
1,Positive
1,Positive
1,Negtive
1,Negtive
1,Positive
0,Negtive
0,Negtive
1,Negtive
0,Negtive
0,Negtive
1,Positive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Negtive
1,Positive
1,Negtive
0,Negtive
0,Positive
1,Positive
0,Negtive
1,Positive
1,Negtive
0,Negtive
0,Negtive
1,Positive
0,Negtive
1,Negtive
0,Negtive
1,Positive
0,Negtive
1,Positive
0,Positive
1,Positive
0,Negtive
0,Positive
1,Negtive
0,Positive
0,Positive
0,Negtive
1,Positive
0,Negtive
1,Positive
0,Negtive
0,Negtive
0,Negtive
1,Positive
1,Positive
1,Positive
1,Positive
1,Negtive
0,Negtive
1,Negtive
0,Negtive
1,Positive
1,Positive
0,Negtive
0,Negtive
1,Positive
1,Positive
1,Positive
1,Positive
1,Positive
1,Positive
1,Positive
1,Positive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Positive
0,Negtive
1,Positive
0,Positive
1,Positive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
1,Positive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Positive
1,Positive
1,Positive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Negtive
1,Negtive
0,Positive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Negtive
1,Positive
1,Positive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
0,Negtive
1,Positive
1,Negtive
1,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
0,Positive
1,Positive
0,Positive
0,Negtive
1,Positive
1,Positive
1,Positive
1,Negtive
0,Negtive
0,Negtive
1,Positive
1,Negtive
1,Positive
0,Negtive
0,Negtive
0,Negtive
1,Positive
1,Negtive
0,Negtive
0,Negtive
0,Positive
1,Positive
1,Positive
0,Negtive
0,Positive
1,Positive
1,Positive
0,Negtive
0,Negtive
1,Positive
1,Positive
1,Positive
1,Positive
0,Negtive
1,Positive
0,Negtive
1,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
0,Negtive
1,Positive
0,Positive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
0,Negtive
1,Positive
0,Negtive
1,Positive
0,Negtive
1,Positive
1,Positive
0,Negtive
1,Positive
0,Negtive
0,Negtive
1,Negtive
1,Positive
1,Positive
1,Positive
0,Negtive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Negtive
0,Negtive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Positive
1,Positive
1,Positive
0,Positive
0,Negtive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Negtive
0,Negtive
0,Positive
1,Positive
0,Negtive
0,Negtive
1,Positive
1,Positive
1,Negtive
0,Negtive
1,Negtive
0,Positive
1,Positive
1,Negtive
1,Negtive
1,Positive
1,Positive
1,Positive
1,Positive
0,Positive
1,Positive
1,Positive
0,Negtive
1,Negtive
0,Negtive
0,Negtive
1,Positive
0,Negtive
1,Positive
0,Positive
1,Positive
1,Positive
1,Negtive
1,Negtive
0,Negtive
1,Positive
0,Negtive
0,Negtive
1,Positive
1,Positive
0,Negtive
0,Positive
0,Negtive
0,Positive
1,Positive
0,Negtive
0,Negtive
1,Negtive
1,Negtive
1,Positive
0,Positive
1,Negtive
1,Positive
1,Negtive
0,Positive
1,Positive
1,Positive
1,Negtive
1,Positive
0,Negtive
0,Negtive
1,Positive
0,Positive
1,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
0,Negtive
0,Positive
1,Positive
0,Negtive
0,Positive
1,Positive
1,Negtive
1,Positive
0,Negtive
0,Negtive
0,Negtive
0,Negtive
1,Positive
0,Negtive
0,Positive
1,Positive
0,Negtive
0,Negtive
0,Negtive
1,Positive
1,Positive
0,Negtive
1,Positive
0,Negtive
0,Negtive
1,Positive
0,Negtive
1,Positive
1,Positive
1,Positive
0,Negtive
0,Negtive
1,Negtive
1,Positive
1,Positive
0,Negtive
